,Unnamed: 0,id,factual,polyjuice,pplm,relitc,label,target,polyjuice_success,pplm_success,relitc_success,polyjuice_perplexity,pplm_perplexity,relitc_perplexity,factual_perplexity,polyjuice_edit_distance,pplm_edit_distance,relitc_edit_distance,polyjuice_tree_edit_distance,pplm_tree_edit_distance,relitc_tree_edit_distance,polyjuice_embedding_distance,pplm_embedding_distance,relitc_embedding_distance,polyjuice_implausibility,pplm_implausibility,relitc_implausibility
0,0,1,"Household spending was projected to grow at a fairly solid rate, supported by higher employment and somewhat lower energy prices but damped somewhat by lessened stimulus from gains in wealth and the need for households to rebuild savings.","The spending was projected to grow at a fairly solid rate, supported by higher employment and somewhat lower energy prices but damped somewhat by lessened stimulus from gains in wealth and the need for households to rebuild savings.","Household spending was projected to grow at a fairly solid rate, supported by higher employment and somewhat lower energy prices. growth was forecasted mainly to be positive for spending on housing, food and utilities.

however, there were","Consumer unemployment was projected to grow at a fairly solid rate, supported by higher employment and somewhat lower energy prices but damped somewhat by dampened stimulus from increases in inflation and the need for efforts to rebuild reserves.",1,2,True,True,False,72.64221954345703,33.66642761230469,78.10240173339844,58.7425537109375,0.0336134453781512,0.3865546218487395,0.2058823529411764,3.0,32.0,8.0,26.618948655751637,17.70675366838172,29.87921821657704,33.83974239840463,25.20365191625531,41.97251038789363
1,1,2,"The possibility that longer-term inflation expectations may have edged down was roughly counterbalanced by the risks that somewhat firmer inflation this year could be more persistent than expected, particularly in an economy that was projected to continue operating above its long-run potential.","The potential for a powerful climax presents itself, and penn allows it to slip away.","The possibility that longer-term inflation expectations may have edged down was roughly counterbalanced by the risks that somewhat firmer inflation this past year, as measured by cpi-u, might not have offset the weaker growth forecast in the second half of the year","The possibility that longer - run inflation expectations may have slowed down to roughly equal is supported by the risks that somewhat lower inflation inflation this year may be linked to economic growth, particularly in an economy that was projected to continue to maintain its long - run potential.",1,2,True,True,False,273.0022277832031,43.27461624145508,61.04171752929688,36.58380889892578,0.7932203389830509,0.3559322033898305,0.2847457627118644,64.0,37.0,37.0,15.337029882923028,17.781757192944827,21.51428713999724,25.63778564868057,28.885551872072742,33.53370473949511
2,2,3,"With inventories lower, firms were beginning to raise production to meet at least a portion of increased demand, and this adjustment was expected to make an important contribution to economic recovery in the fourth quarter of the year and, to a lesser extent, in 2010 as well.","With inventories lower, firms were beginning to raise production to meet at least a portion of increased demand, and this adjustment was expected to make an important contribution to economic recovery in the short run and, to a lesser extent, in 2010 as well.","With inventories lower, firms were beginning to raise production to meet at least a portion of increased demand, and this adjustment was expected to continue, with a few firms raising prices in response to lower demand. as a result, in august the average price index","With inventories lower, firms were beginning to raise production to meet at least a portion of increased demand, and this adjustment was expected to make an important contribution to economic recovery in the fourth quarter of the year and, to a lesser extent, in 2010 as well.",2,1,True,True,True,28.555179595947266,36.72937774658203,24.78444480895996,24.78445243835449,0.0797101449275362,0.3695652173913043,0.0,7.0,38.0,0.0,25.67444942260786,15.715206701961668,25.409971598046383,31.247761971251716,27.134231216879662,30.991157531244447
3,3,4,The near-term forecast again entailed a marked downshift in headline inflation as energy prices fall back consistent with readings from futures markets.,"The near-term, non-injurious, non-injurious, non-emotional, non-emotional, non-stereotypical, non-emotional and, above all, non-stereotypical features of the physical person.","The near-term forecast again entailed a marked downshift in headline inflation. consumer prices grew by 2.1 per cent in may.

the government has warned that it may not take a",The forecast - based forecast again enchantes a marked downshift in headline inflation when equity prices fall as consistent with readings in futures markets.,0,2,True,False,False,8.418243408203125,66.26982116699219,593.9462890625,126.44573974609376,0.8092105263157895,0.4473684210526316,0.2171052631578947,35.0,31.0,16.0,15.536647849190096,19.243376175651832,17.201299730845548,24.584590115477237,31.139098590368636,25.798508934937423
4,4,5,"As students of economics, you may already know that the Federal Reserve conducts monetary policy to support a strong and stable economy in the United States.","As an students of economics, you may already know that the federal reserve conducts monetary policy to support a strong and stable economy in the united states.","As students of economics, you may already know that the federal reserve conducts a monetary policy called quantitative easing, or qe. qe is the term the fed uses to describe a strategy of buying","As students of economics, you may already know that the federal reserve conducts monetary policy to support a strong and stable economy in the united states.",2,1,True,False,True,37.6057243347168,33.07119369506836,33.89069366455078,16.52524185180664,0.0445859872611464,0.4840764331210191,0.0254777070063694,8.0,39.0,7.0,20.125106752347985,23.077442397518872,22.4536793694095,31.276214182805017,33.73116514321323,32.49284948882009
5,5,6,"In particular, incoming data and anecdotal information indicated that economic activity had appreciably more forward momentum than previously perceived and that inflation pressures could be intensifying.","In particular, incoming data and anecdotal information indicated that economic activity had appreciably more forward momentum than previously predicted and that inflation pressures could be intensifying.","In particular, incoming data and anecdotal information indicated that economic activity had appreciably improved in the first half of 2017, although not by much.

this was particularly the case in the second quarter,","In particular, incoming data and anecdotal information indicated that economic activity was appreciably gaining in momentum than previously perceived and that inflation expectations could be lower than anticipated.",1,2,False,True,False,74.82308197021484,26.89374351501465,93.5138702392578,77.83987426757812,0.0246305418719211,0.4482758620689655,0.2118226600985221,1.0,34.0,11.0,18.569053754260025,17.395307590347127,28.345247683518885,37.352638235305406,27.226081053108928,40.38520117811404
6,6,7,Microeconomic studies provide corroborating information to the macroeconomic evidence of a post-1995 acceleration in productivity growth.,Microeconomic studies provide corroborating information to the macroeconomic evidence of a post-1995 acceleration in growth.,Microeconomic studies provide corroborating information to the macroeconomic evidence of the economic benefits of the aca. the aca's impact has been greater in terms of increased employment and lower rates of long-,Microeconomic models provide corroborative information to the macroeconomic projections of a post - 1995 survey of productivity growth.,0,2,False,True,False,81.42498016357422,58.471622467041016,170.73765563964844,71.2530288696289,0.0948905109489051,0.7445255474452555,0.2335766423357664,2.0,34.0,15.0,22.446921423567627,38.36396018901668,15.980876227108944,34.36771830600338,43.26882941715018,25.99439049838559
7,7,8,"Even after adjusting for the effects of strikes on reported payrolls, the employment report for August showed weak job gains.","After adjusting for the effects of the strike, the employment growth in the second half of 2016 was slightly better than the first half of 2016.","Even after adjusting for the effects of strikes on reported violence on the streets, the police have shown the highest levels of brutality against civilians in the country.

in the first","Even after adjusting for the growth of strikes on the payrolls, the employment report for august projected weak job gains.",0,2,True,True,False,12.93089199066162,29.435794830322266,96.05714416503906,52.48762893676758,0.68,0.792,0.16,32.0,32.0,7.0,21.812272783635333,14.508505532486708,23.644079230756084,28.689176018010535,24.916866079110882,30.460761067391626
8,8,9,"You know, it's interest rates, it's risk spreads, it's currency, it's the stock market, it's credit availability, it's many, many factors.","It's, it 's risk empty, it 's, it 's the stock market many, many factors.","You know, it’s interest rates, it’s risk spreads, it’s currency, it’s what's going on around the world, and you're trying to understand why that is.

so","You know, it's interest rates, it's financial policy, it's monetary, it's the stock market, it's credit availability, it's many, many factors.",2,1,False,False,False,83.59593200683594,18.423828125,16.968246459960938,14.407960891723633,0.5579710144927537,0.4710144927536231,0.1521739130434782,28.0,43.0,6.0,19.071023262217512,17.90322313325923,19.58463963344782,35.75601400389121,33.20866753707997,35.44469296054961
9,9,10,"The fundamentals underlying capital spending continued to be supportive, as business sector output expanded briskly, firms remained flush with funds, and relative price declines for high-tech equipment continued to push down its user cost.","The fundamentals of capital are the fundamentals of how governments spend their money, and how they achieve their objectives. government programs, however, are needed to help citizens to achieve their financial needs.","The fundamentals underlying capital spending continued to be supportive, as business sector output expanded briskly, firms remained active (and capital spending rose) and government spending fell.

the bank of canada kept its forecast for growth of 3","The fundamentals underlying capital spending continued to be subdued, the private sector had expanded briskly, businesses remained flush with funds, and relative domestic demand for high - tech equipment continued to hold down its user base.",1,2,True,True,False,26.169328689575195,79.39705657958984,100.40087127685548,89.27062225341797,0.7071129707112971,0.3933054393305439,0.2217573221757322,54.0,36.0,23.0,14.303342993426265,21.11708802292156,23.75357602167841,24.194499776354924,28.62764467387715,33.87885554870329
