,Factual,PPLM,Polyjuice,RELITC,Mask,Label,Target
0,"Household spending was projected to grow at a fairly solid rate, supported by higher employment and somewhat lower energy prices but damped somewhat by lessened stimulus from gains in wealth and the need for households to rebuild savings.","Household spending was projected to grow at a fairly solid rate, supported by higher employment and somewhat lower energy prices. growth was forecasted mainly to be positive for spending on housing, food and utilities.

however, there were","The spending was projected to grow at a fairly solid rate, supported by higher employment and somewhat lower energy prices but damped somewhat by lessened stimulus from gains in wealth and the need for households to rebuild savings.",,False,1,2
1,"The possibility that longer-term inflation expectations may have edged down was roughly counterbalanced by the risks that somewhat firmer inflation this year could be more persistent than expected, particularly in an economy that was projected to continue operating above its long-run potential.","The possibility that longer-term inflation expectations may have edged down was roughly counterbalanced by the risks that somewhat firmer inflation this past year, as measured by cpi-u, might not have offset the weaker growth forecast in the second half of the year","The potential for a powerful climax presents itself, and penn allows it to slip away.",,False,1,2
2,"With inventories lower, firms were beginning to raise production to meet at least a portion of increased demand, and this adjustment was expected to make an important contribution to economic recovery in the fourth quarter of the year and, to a lesser extent, in 2010 as well.","With inventories lower, firms were beginning to raise production to meet at least a portion of increased demand, and this adjustment was expected to continue, with a few firms raising prices in response to lower demand. as a result, in august the average price index","With inventories lower, firms were beginning to raise production to meet at least a portion of increased demand, and this adjustment was expected to make an important contribution to economic recovery in the short run and, to a lesser extent, in 2010 as well.","With inventories lower, firms were beginning to raise production to meet at least a portion of increased demand, and this trend was expected to make an important contribution to economic recovery in the fourth quarter of the 2009 and, to a lesser extent, in 2010 as well.",True,2,1
3,The near-term forecast again entailed a marked downshift in headline inflation as energy prices fall back consistent with readings from futures markets.,"The near-term forecast again entailed a marked downshift in headline inflation. consumer prices grew by 2.1 per cent in may.

the government has warned that it may not take a","The near-term, non-injurious, non-injurious, non-emotional, non-emotional, non-stereotypical, non-emotional and, above all, non-stereotypical features of the physical person.",,False,0,2
4,"As students of economics, you may already know that the Federal Reserve conducts monetary policy to support a strong and stable economy in the United States.","As students of economics, you may already know that the federal reserve conducts a monetary policy called quantitative easing, or qe. qe is the term the fed uses to describe a strategy of buying","As an students of economics, you may already know that the federal reserve conducts monetary policy to support a strong and stable economy in the united states.","As students of economics, you may already know that the federal reserve conducts monetary policy to support a strong and stable economy in the united states.",True,2,1
5,"In particular, incoming data and anecdotal information indicated that economic activity had appreciably more forward momentum than previously perceived and that inflation pressures could be intensifying.","In particular, incoming data and anecdotal information indicated that economic activity had appreciably improved in the first half of 2017, although not by much.

this was particularly the case in the second quarter,","In particular, incoming data and anecdotal information indicated that economic activity had appreciably more forward momentum than previously predicted and that inflation pressures could be intensifying.",,False,1,2
6,Microeconomic studies provide corroborating information to the macroeconomic evidence of a post-1995 acceleration in productivity growth.,Microeconomic studies provide corroborating information to the macroeconomic evidence of the economic benefits of the aca. the aca's impact has been greater in terms of increased employment and lower rates of long-,Microeconomic studies provide corroborating information to the macroeconomic evidence of a post-1995 acceleration in growth.,,False,0,2
7,"Even after adjusting for the effects of strikes on reported payrolls, the employment report for August showed weak job gains.","Even after adjusting for the effects of strikes on reported violence on the streets, the police have shown the highest levels of brutality against civilians in the country.

in the first","After adjusting for the effects of the strike, the employment growth in the second half of 2016 was slightly better than the first half of 2016.",,False,0,2
8,"You know, it’s interest rates, it’s risk spreads, it’s currency, it’s the stock market, it’s credit availability, it’s many, many factors.","You know, it’s interest rates, it’s risk spreads, it’s currency, it’s what's going on around the world, and you're trying to understand why that is.

so","It's, it 's risk empty, it 's, it 's the stock market many, many factors.","Inflation rises, itas rapid growth, itas risk spreads, itas currency, itas the asset premium, itas asset prices, itas many, many factors.",True,2,1
9,"The fundamentals underlying capital spending continued to be supportive, as business sector output expanded briskly, firms remained flush with funds, and relative price declines for high-tech equipment continued to push down its user cost.","The fundamentals underlying capital spending continued to be supportive, as business sector output expanded briskly, firms remained active (and capital spending rose) and government spending fell.

the bank of canada kept its forecast for growth of 3","The fundamentals of capital are the fundamentals of how governments spend their money, and how they achieve their objectives. government programs, however, are needed to help citizens to achieve their financial needs.",,False,1,2
10,"Everyone, particularly people on fixed incomes, and at the lower part of the income distribution are better off with stable prices.","Everyone, particularly people on fixed incomes, and at the lower end of the income distribution, has to pay more for the basic public goods that society expects them to. that's why we","Everyone, particularly people on fixed incomes, and at the higher end of the distribution are better off with stable prices.","Everyone, particularly people on fixed incomes, and at the lower part of the income distribution are better off with stable prices.",True,2,1
